slice,precsion,recall,fbeta
State-gov,0.9371428571428572,0.9291784702549575,0.9331436699857751
Self-emp-not-inc,0.9385964912280702,0.8867403314917127,0.9119318181818181
Private,0.9049454078355812,0.8517025992343341,0.877517126842433
Federal-gov,0.936,0.9460916442048517,0.9410187667560322
Local-gov,0.9285714285714286,0.9059967585089141,0.9171452009844134
?,0.9447852760736196,0.806282722513089,0.8700564971751411
Self-emp-inc,0.9516129032258065,0.9485530546623794,0.9500805152979066
Without-pay,1.0,1.0,1.0
Never-worked,1.0,1.0,1.0
Bachelors,0.9206773618538324,0.930211616389014,0.9254199328107503
HS-grad,0.8683666436940042,0.7522388059701492,0.8061420345489444
11th,1.0,0.8666666666666667,0.9285714285714286
Masters,0.9589473684210527,0.9499478623566214,0.9544264012572027
9th,1.0,0.8518518518518519,0.92
Some-college,0.8998435054773083,0.829127613554434,0.8630393996247654
Assoc-acdm,0.9367588932806324,0.8943396226415095,0.9150579150579152
Assoc-voc,0.9147058823529411,0.8614958448753463,0.8873038516405135
7th-8th,0.9117647058823529,0.775,0.8378378378378379
Doctorate,0.9525316455696202,0.9836601307189542,0.9678456591639871
Prof-school,0.9808153477218226,0.966903073286052,0.9738095238095239
5th-6th,0.8571428571428571,0.75,0.7999999999999999
10th,0.9464285714285714,0.8548387096774194,0.8983050847457628
1st-4th,0.8333333333333334,0.8333333333333334,0.8333333333333334
Preschool,1.0,1.0,1.0
12th,0.967741935483871,0.9090909090909091,0.9374999999999999
Never-married,0.9658314350797267,0.8635437881873728,0.9118279569892473
Married-civ-spouse,0.9101210804098107,0.8761207411835027,0.8927973199329984
Divorced,0.9536585365853658,0.8444924406047516,0.8957617411225658
Married-spouse-absent,1.0,0.8235294117647058,0.9032258064516129
Separated,0.9838709677419355,0.9242424242424242,0.9531249999999999
Married-AF-spouse,1.0,0.9,0.9473684210526316
Widowed,1.0,0.8823529411764706,0.9375
Adm-clerical,0.8841463414634146,0.8579881656804734,0.8708708708708709
Exec-managerial,0.9296835760924159,0.9405487804878049,0.935084617327608
Handlers-cleaners,0.8734177215189873,0.8023255813953488,0.8363636363636363
Prof-specialty,0.9361245303274289,0.9381387842926304,0.9371305749596991
Other-service,0.9279279279279279,0.7518248175182481,0.8306451612903225
Sales,0.9076433121019108,0.8697863682604272,0.8883116883116883
Craft-repair,0.8827404479578392,0.721205597416577,0.7938388625592417
Transport-moving,0.910394265232975,0.79375,0.8480801335559265
Farming-fishing,0.941747572815534,0.8434782608695652,0.8899082568807339
Machine-op-inspct,0.8571428571428571,0.72,0.782608695652174
Tech-support,0.9239130434782609,0.901060070671378,0.9123434704830053
?,0.9447852760736196,0.806282722513089,0.8700564971751411
Protective-serv,0.9333333333333333,0.8625592417061612,0.896551724137931
Armed-Forces,1.0,1.0,1.0
Priv-house-serv,1.0,1.0,1.0
Not-in-family,0.9598445595854922,0.8656542056074766,0.9103194103194103
Husband,0.9073617470940472,0.8705643798580601,0.8885822697481889
Wife,0.9298245614035088,0.9248322147651007,0.927321668909825
Own-child,1.0,0.8507462686567164,0.9193548387096774
Unmarried,0.9782608695652174,0.8256880733944955,0.8955223880597014
Other-relative,0.9696969696969697,0.8648648648648649,0.9142857142857143
White,0.9149469339622641,0.8721371364338907,0.8930292784691749
Black,0.9335180055401662,0.8708010335917312,0.9010695187165775
Asian-Pac-Islander,0.9618320610687023,0.9130434782608695,0.9368029739776952
Amer-Indian-Eskimo,0.9428571428571428,0.9166666666666666,0.9295774647887323
Other,0.9565217391304348,0.88,0.9166666666666666
Male,0.9136327817178881,0.8701591113779645,0.8913661874375336
Female,0.9410714285714286,0.8939779474130619,0.9169204001739887
