slice,precsion,recall,fbeta
State-gov,0.9426934097421203,0.9320113314447592,0.9373219373219374
Self-emp-not-inc,0.9282700421940928,0.9116022099447514,0.9198606271777003
Private,0.9023037542662116,0.8523070723352811,0.8765930991607087
Federal-gov,0.95,0.921832884097035,0.935704514363885
Local-gov,0.9275123558484349,0.9124797406807131,0.9199346405228759
?,0.9217877094972067,0.8638743455497382,0.8918918918918919
Self-emp-inc,0.9625407166123778,0.9501607717041801,0.9563106796116505
Without-pay,1.0,1.0,1.0
Never-worked,1.0,1.0,1.0
Bachelors,0.9113756613756614,0.9306618640252139,0.9209177990643798
HS-grad,0.887333799860042,0.7570149253731343,0.8170103092783506
11th,0.9803921568627451,0.8333333333333334,0.9009009009009009
Masters,0.9431818181818182,0.9520333680917622,0.9475869226777374
9th,0.9583333333333334,0.8518518518518519,0.9019607843137256
Some-college,0.8963133640552995,0.8413842826243692,0.8679806619561174
Assoc-acdm,0.9385245901639344,0.8641509433962264,0.899803536345776
Assoc-voc,0.9273255813953488,0.8836565096952909,0.9049645390070922
7th-8th,0.8529411764705882,0.725,0.7837837837837837
Doctorate,0.967741935483871,0.9803921568627451,0.9740259740259739
Prof-school,0.9765807962529274,0.9858156028368794,0.9811764705882353
5th-6th,1.0,0.875,0.9333333333333333
10th,0.8524590163934426,0.8387096774193549,0.8455284552845529
1st-4th,1.0,0.6666666666666666,0.8
Preschool,1.0,1.0,1.0
12th,1.0,0.8484848484848485,0.9180327868852458
Never-married,0.9376391982182628,0.8574338085539714,0.8957446808510637
Married-civ-spouse,0.9104408352668213,0.879557680812911,0.8947328418332446
Divorced,0.9521531100478469,0.8596112311015118,0.9035187287173666
Married-spouse-absent,1.0,0.9411764705882353,0.9696969696969697
Separated,0.9841269841269841,0.9393939393939394,0.9612403100775193
Married-AF-spouse,1.0,0.7,0.8235294117647058
Widowed,1.0,0.8705882352941177,0.9308176100628931
Adm-clerical,0.9024896265560166,0.8579881656804734,0.8796764408493428
Exec-managerial,0.9215,0.9364837398373984,0.9289314516129032
Handlers-cleaners,0.8974358974358975,0.813953488372093,0.8536585365853658
Prof-specialty,0.9344086021505377,0.9349112426035503,0.9346598547996773
Other-service,0.9380530973451328,0.7737226277372263,0.8480000000000001
Sales,0.8942505133470225,0.8860630722278738,0.8901379662749105
Craft-repair,0.8872679045092838,0.7201291711517761,0.7950089126559715
Transport-moving,0.9094202898550725,0.784375,0.8422818791946309
Farming-fishing,0.9626168224299065,0.8956521739130435,0.9279279279279279
Machine-op-inspct,0.8844221105527639,0.704,0.7839643652561248
Tech-support,0.9285714285714286,0.9187279151943463,0.9236234458259325
?,0.9217877094972067,0.8638743455497382,0.8918918918918919
Protective-serv,0.9362745098039216,0.9052132701421801,0.9204819277108433
Armed-Forces,1.0,1.0,1.0
Priv-house-serv,1.0,1.0,1.0
Not-in-family,0.9384422110552764,0.8726635514018691,0.9043583535108959
Husband,0.9061953097654882,0.8749577559986482,0.890302613480055
Wife,0.9409340659340659,0.9194630872483222,0.9300746775288528
Own-child,1.0,0.8656716417910447,0.928
Unmarried,1.0,0.8302752293577982,0.9072681704260652
Other-relative,1.0,0.8378378378378378,0.911764705882353
White,0.9141807494489346,0.8741042574118308,0.8936934348513145
Black,0.9398907103825137,0.8888888888888888,0.9136786188579017
Asian-Pac-Islander,0.931899641577061,0.9420289855072463,0.9369369369369369
Amer-Indian-Eskimo,0.9411764705882353,0.8888888888888888,0.9142857142857143
Other,0.9583333333333334,0.92,0.9387755102040817
Male,0.9110348056812861,0.876163314320024,0.8932588568367893
Female,0.9473206176203451,0.8846480067854113,0.9149122807017543
